domain;problem;LTRA;BOTAV2;BOTAV2-psi
car-assistance1_domain;car-assistance1_problem_0;2;2;1
;car-assistance1_problem_10;2;5;1
;car-assistance1_problem_11;2;6;1
;car-assistance1_problem_12;2;3;1
;car-assistance1_problem_13;2;1;1
;car-assistance1_problem_14;2;4;1
;car-assistance1_problem_15;2;4;1
;car-assistance1_problem_16;3;2;1
;car-assistance1_problem_17;2;2;1
;car-assistance1_problem_18;2;3;1
;car-assistance1_problem_19;2;3;1
;car-assistance1_problem_1;2;3;1
;car-assistance1_problem_2;2;4;1
;car-assistance1_problem_3;2;4;1
;car-assistance1_problem_4;2;6;1
;car-assistance1_problem_5;2;4;1
;car-assistance1_problem_6;2;3;1
;car-assistance1_problem_7;2;5;1
;car-assistance1_problem_8;2;6;1
;car-assistance1_problem_9;2;3;1
