domain;problem;time_without_assistance;minimum_time_can_be_obtained;LTRA;BOTAV2;BOTAV2-psi
car-assistance1_domain;car-assistance1_problem_0;0.1201024055;0.2425639629;0.1865692139;0.1942353249;0.1955869198
;car-assistance1_problem_10;0.1129615307;0.3502283096;0.5816571712;0.6295394897;0.5765659809
;car-assistance1_problem_11;0.1225528717;0.6347615719;0.6302819252;0.6180329323;0.6364784241
;car-assistance1_problem_12;0.0853848457;0.1382086277;0.3259849548;0.3290126324;0.3245129585
;car-assistance1_problem_13;0.1068193913;0.3127732277;0.3909535408;0.3902990818;0.385207653
;car-assistance1_problem_14;0.0963206291;0.2160613537;0.3485648632;0.3613493443;0.3579192162
;car-assistance1_problem_15;0.0967969894;0.2066135406;0.3599612713;0.5202326775;0.3609728813
;car-assistance1_problem_16;0.0984466076;0.2143759727;0.4301395416;0.3507173061;0.3595888615
;car-assistance1_problem_17;0.0851969719;0.1376140118;0.2337007523;0.2320373058;0.2356626987
;car-assistance1_problem_18;0.0850720406;0.1406357288;0.3203012943;0.3249237537;0.3243997097
;car-assistance1_problem_19;0.0925147533;0.1926493645;0.3416810036;0.3426380157;0.3391726017
;car-assistance1_problem_1;0.0958132744;0.2165777683;0.3525044918;0.5232205391;0.3681647778
;car-assistance1_problem_2;0.0860190392;0.1400063038;0.4002535343;0.4002556801;0.38890028
;car-assistance1_problem_3;0.1308529377;0.647911787;0.4411244392;0.4790613651;0.4491484165
;car-assistance1_problem_4;0.1146328449;0.414170742;0.4151182175;0.4702296257;0.4185695648
;car-assistance1_problem_5;0.1157751083;0.259909153;0.3759865761;0.3737080097;0.3751115799
;car-assistance1_problem_6;0.1028017998;0.2423551083;0.5374412537;0.5381133556;0.5309457779
;car-assistance1_problem_7;0.1090013981;0.3318126202;0.3881583214;0.4891297817;0.395868063
;car-assistance1_problem_8;0.1178994179;0.3861603737;0.6761140823;0.9269382954;0.6839270592
;car-assistance1_problem_9;0.0873568058;0.2545444965;0.1908721924;0.4547402859;0.1907260418
